"";"Driver";"year";"race";"raceID";"race_ID";"Start";"Mid Race";"Finish";"High Pos.";"Low Pos.";"Avg. Pos.";"Pass Diff.";"Green Flag Passes";"Green Flag Times Passed";"Quality Passes";"Pct. Quality Passes";"Fastest Lap";"Top 15 Laps";"Pct. Top 15 Laps";"Laps Led";"Pct. Laps Led";"Total Laps";"Driver Rating"
"1";"Michael McDowell";"2021";"01";"01_2021";"2021_01";"17";"18";"1";"1";"35";"14";"5";"102";"97";"71";"69.6";"7";"103";"51.5";"1";"0.5";"200";"94.2"
"2";"Chase Elliott";"2021";"01";"01_2021";"2021_01";"12";"8";"2";"1";"16";"8";"-2";"131";"133";"122";"93.1";"3";"199";"99.5";"3";"1.5";"200";"103.4"
"3";"Austin Dillon";"2021";"01";"01_2021";"2021_01";"4";"4";"3";"1";"16";"6";"-7";"108";"115";"97";"89.8";"2";"199";"99.5";"7";"3.5";"200";"108.5"
"4";"Kevin Harvick";"2021";"01";"01_2021";"2021_01";"8";"14";"4";"1";"17";"6";"3";"109";"106";"102";"93.6";"3";"196";"98.0";"17";"8.5";"200";"107.7"
"5";"Denny Hamlin";"2021";"01";"01_2021";"2021_01";"25";"3";"5";"1";"38";"6";"-7";"78";"85";"64";"82.1";"5";"183";"91.5";"98";"49.0";"200";"119.6"
"6";"Ryan Preece";"2021";"01";"01_2021";"2021_01";"11";"10";"6";"2";"19";"9";"8";"132";"124";"114";"86.4";"9";"195";"97.5";"0";"0.0";"200";"97.9"
"7";"Ross Chastain";"2021";"01";"01_2021";"2021_01";"34";"9";"7";"1";"34";"12";"8";"121";"113";"72";"59.5";"7";"155";"77.5";"0";"0.0";"200";"97.1"
"8";"Jamie McMurray";"2021";"01";"01_2021";"2021_01";"19";"15";"8";"2";"30";"17";"1";"87";"86";"41";"47.1";"8";"109";"54.5";"0";"0.0";"200";"85.3"
"9";"Corey LaJoie";"2021";"01";"01_2021";"2021_01";"16";"17";"9";"4";"24";"14";"-17";"107";"124";"76";"71.0";"8";"139";"69.5";"0";"0.0";"200";"90.8"
"10";"Kyle Larson";"2021";"01";"01_2021";"2021_01";"13";"7";"10";"1";"18";"9";"20";"126";"106";"112";"88.9";"6";"190";"95.0";"1";"0.5";"200";"96.4"
"11";"Cole Custer";"2021";"01";"01_2021";"2021_01";"27";"16";"11";"1";"37";"13";"7";"125";"118";"95";"76.0";"6";"143";"71.5";"1";"0.5";"200";"84.4"
"12";"Joey Logano";"2021";"01";"01_2021";"2021_01";"9";"6";"12";"1";"24";"7";"8";"158";"150";"147";"93.0";"6";"194";"97.5";"26";"13.1";"199";"104.4"
"13";"Brad Keselowski";"2021";"01";"01_2021";"2021_01";"24";"12";"13";"1";"39";"12";"-13";"117";"130";"104";"88.9";"6";"171";"85.9";"0";"0.0";"199";"90.3"
"14";"Kyle Busch";"2021";"01";"01_2021";"2021_01";"10";"2";"14";"1";"16";"5";"-1";"110";"111";"102";"92.7";"1";"200";"100.5";"0";"0.0";"199";"114.6"
"15";"Austin Cindric";"2021";"01";"01_2021";"2021_01";"39";"5";"15";"1";"39";"10";"-8";"91";"99";"74";"81.3";"8";"166";"83.4";"2";"1.0";"199";"91.6"
"16";"Christopher Bell";"2021";"01";"01_2021";"2021_01";"5";"1";"16";"1";"24";"11";"13";"108";"95";"69";"63.9";"11";"105";"52.8";"32";"16.1";"199";"97.3"
"17";"Bubba Wallace";"2021";"01";"01_2021";"2021_01";"6";"13";"17";"1";"39";"12";"18";"132";"114";"96";"72.7";"10";"128";"64.6";"1";"0.5";"198";"87.5"
"18";"Ricky Stenhouse, Jr.";"2021";"01";"01_2021";"2021_01";"21";"11";"18";"4";"28";"15";"0";"114";"114";"68";"59.6";"2";"97";"49.0";"0";"0.0";"198";"71.1"
"19";"Chase Briscoe";"2021";"01";"01_2021";"2021_01";"30";"24";"19";"1";"38";"22";"-1";"24";"25";"0";"0.0";"7";"4";"2.0";"0";"0.0";"197";"62.6"
"20";"Joey Gase";"2021";"01";"01_2021";"2021_01";"28";"20";"20";"11";"37";"20";"-23";"38";"61";"4";"10.5";"0";"5";"2.6";"0";"0.0";"196";"61.3"
"21";"Cody Ware";"2021";"01";"01_2021";"2021_01";"35";"23";"21";"11";"39";"22";"-7";"28";"35";"0";"0.0";"0";"5";"2.6";"0";"0.0";"196";"59.2"
"22";"Kurt Busch";"2021";"01";"01_2021";"2021_01";"20";"25";"22";"10";"29";"25";"7";"43";"36";"20";"46.5";"7";"4";"2.1";"0";"0.0";"195";"60.9"
"23";"B.J. McLeod";"2021";"01";"01_2021";"2021_01";"38";"21";"23";"2";"38";"20";"-8";"43";"51";"0";"0.0";"0";"14";"7.2";"0";"0.0";"195";"62.3"
"24";"Josh Bilicki";"2021";"01";"01_2021";"2021_01";"37";"22";"24";"11";"40";"22";"-28";"22";"50";"1";"4.5";"0";"4";"2.1";"0";"0.0";"194";"57.7"
"25";"Martin Truex, Jr.";"2021";"01";"01_2021";"2021_01";"26";"28";"25";"17";"32";"27";"26";"44";"18";"0";"0.0";"23";"0";"0.0";"0";"0.0";"193";"55.5"
"26";"William Byron";"2021";"01";"01_2021";"2021_01";"2";"27";"26";"2";"32";"27";"5";"39";"34";"0";"0.0";"2";"0";"0.0";"0";"0.0";"191";"51.1"
