"";"Driver";"year";"race";"raceID";"race_ID";"Start";"Mid Race";"Finish";"High Pos.";"Low Pos.";"Avg. Pos.";"Pass Diff.";"Green Flag Passes";"Green Flag Times Passed";"Quality Passes";"Pct. Quality Passes";"Fastest Lap";"Top 15 Laps";"Pct. Top 15 Laps";"Laps Led";"Pct. Laps Led";"Total Laps";"Driver Rating"
"1";"Ben Rhodes";"2021";"01";"01_2021";"2021_01";"23";"9";"1";"1";"28";"8";"31";"117";"86";"93";"79.5";"2";"86";"85.1";"7";"6.9";"101";"118.6"
"2";"Jordan Anderson";"2021";"01";"01_2021";"2021_01";"20";"24";"2";"2";"31";"20";"-19";"60";"79";"18";"30.0";"3";"12";"11.9";"0";"0.0";"101";"77.1"
"3";"Cory Roper";"2021";"01";"01_2021";"2021_01";"31";"21";"3";"1";"31";"17";"3";"90";"87";"55";"61.1";"1";"45";"44.6";"0";"0.0";"101";"72.9"
"4";"Ryan Truex";"2021";"01";"01_2021";"2021_01";"25";"29";"4";"4";"33";"23";"-13";"55";"68";"9";"16.4";"2";"8";"7.9";"0";"0.0";"101";"73.0"
"5";"Carson Hocevar";"2021";"01";"01_2021";"2021_01";"12";"28";"5";"5";"32";"22";"-9";"74";"83";"18";"24.3";"2";"10";"9.9";"0";"0.0";"101";"70.9"
"6";"Sheldon Creed";"2021";"01";"01_2021";"2021_01";"2";"18";"6";"1";"30";"11";"16";"142";"126";"106";"74.6";"2";"78";"77.2";"1";"1.0";"101";"100.5"
"7";"John Hunter Nemechek";"2021";"01";"01_2021";"2021_01";"7";"14";"7";"1";"29";"10";"16";"112";"96";"87";"77.7";"1";"81";"80.2";"14";"13.9";"101";"102.3"
"8";"Codie Rohrbaugh";"2021";"01";"01_2021";"2021_01";"26";"25";"8";"5";"32";"23";"-17";"55";"72";"22";"40.0";"1";"15";"14.9";"0";"0.0";"101";"60.6"
"9";"Chandler Smith";"2021";"01";"01_2021";"2021_01";"6";"22";"9";"1";"28";"7";"-3";"110";"113";"84";"76.4";"1";"87";"86.1";"22";"21.8";"101";"102.6"
"10";"Drew Dollar";"2021";"01";"01_2021";"2021_01";"17";"6";"10";"3";"21";"10";"-1";"104";"105";"88";"84.6";"0";"74";"73.3";"0";"0.0";"101";"81.5"
"11";"Grant Enfinger";"2021";"01";"01_2021";"2021_01";"3";"4";"11";"1";"24";"5";"11";"138";"127";"127";"92.0";"1";"96";"95.0";"13";"12.9";"101";"111.7"
"12";"Kris Wright";"2021";"01";"01_2021";"2021_01";"27";"20";"12";"5";"33";"22";"-9";"56";"65";"31";"55.4";"1";"20";"19.8";"0";"0.0";"101";"55.9"
"13";"Spencer Boyd";"2021";"01";"01_2021";"2021_01";"24";"33";"13";"7";"33";"25";"-30";"27";"57";"6";"22.2";"0";"10";"9.9";"0";"0.0";"101";"47.3"
"14";"David Gilliland";"2021";"01";"01_2021";"2021_01";"13";"2";"14";"1";"28";"13";"16";"135";"119";"107";"79.3";"4";"69";"68.3";"8";"7.9";"101";"84.2"
"15";"Matt Crafton";"2021";"01";"01_2021";"2021_01";"14";"3";"15";"2";"33";"14";"21";"116";"95";"94";"81.0";"1";"76";"75.2";"0";"0.0";"101";"78.8"
"16";"Zane Smith";"2021";"01";"01_2021";"2021_01";"8";"8";"16";"3";"32";"16";"6";"89";"83";"42";"47.2";"3";"41";"40.6";"0";"0.0";"101";"68.0"
"17";"Danny Bohn";"2021";"01";"01_2021";"2021_01";"32";"31";"17";"13";"33";"26";"-32";"31";"63";"5";"16.1";"0";"6";"5.9";"0";"0.0";"101";"43.7"
