"";"Driver";"year";"race";"raceID";"race_ID";"Start";"Mid Race";"Finish";"High Pos.";"Low Pos.";"Avg. Pos.";"Pass Diff.";"Green Flag Passes";"Green Flag Times Passed";"Quality Passes";"Pct. Quality Passes";"Fastest Lap";"Top 15 Laps";"Pct. Top 15 Laps";"Laps Led";"Pct. Laps Led";"Total Laps";"Driver Rating"
"1";"Austin Cindric";"2021";"01";"01_2021";"2021_01";"1";"3";"1";"1";"21";"6";"12";"98";"86";"91";"92.9";"2";"110";"90.2";"28";"23.0";"122";"114.3"
"2";"Brett Moffitt";"2021";"01";"01_2021";"2021_01";"15";"1";"2";"1";"22";"7";"17";"121";"104";"109";"90.1";"0";"117";"95.9";"6";"4.9";"122";"111.5"
"3";"Harrison Burton";"2021";"01";"01_2021";"2021_01";"8";"15";"3";"1";"29";"7";"4";"128";"124";"116";"90.6";"0";"118";"96.7";"28";"23.0";"122";"109.1"
"4";"Jeb Burton";"2021";"01";"01_2021";"2021_01";"7";"19";"4";"3";"30";"13";"12";"138";"126";"100";"72.5";"2";"88";"72.1";"0";"0.0";"122";"84.4"
"5";"A.J. Allmendinger";"2021";"01";"01_2021";"2021_01";"31";"13";"5";"2";"31";"12";"11";"136";"125";"96";"70.6";"0";"94";"77.0";"0";"0.0";"122";"88.7"
"6";"Brandon Brown";"2021";"01";"01_2021";"2021_01";"14";"5";"6";"1";"37";"10";"13";"147";"134";"114";"77.6";"1";"102";"83.6";"1";"0.8";"122";"95.6"
"7";"Myatt Snider";"2021";"01";"01_2021";"2021_01";"11";"9";"7";"1";"28";"10";"-7";"127";"134";"106";"83.5";"1";"108";"88.5";"0";"0.0";"122";"81.6"
"8";"Brandon Gdovic";"2021";"01";"01_2021";"2021_01";"39";"28";"8";"7";"39";"25";"-19";"50";"69";"7";"14.0";"1";"18";"14.8";"0";"0.0";"122";"58.1"
"9";"Daniel Hemric";"2021";"01";"01_2021";"2021_01";"12";"16";"9";"1";"29";"10";"2";"122";"120";"100";"82.0";"1";"95";"77.9";"0";"0.0";"122";"92.4"
"10";"Jason White";"2021";"01";"01_2021";"2021_01";"40";"17";"10";"2";"40";"22";"6";"90";"84";"13";"14.4";"3";"13";"10.7";"0";"0.0";"122";"83.6"
